item-name,item-description,listing-id,seller-sku,price,quantity,open-date,image-url,item-is-marketplace,product-id-type,zshop-shipping-fee,item-note,item-condition,zshop-category1,zshop-browse-path,zshop-storefront-feature,asin1,asin2,asin3,will-ship-internationally,expedited-shipping,zshop-boldface,product-id,bid-for-featured-placement,add-delete,pending-quantity,fulfillment-channel,optional-payment-type-exclusion,status,maximum-retail-price
Classic Kundan Stud Earrings with Attached Gold Chain,"A simple yet captivating piece of ethnic jewelry, these elegant stud earrings feature brilliant Kundan-style work. The central square-cut Ruby (Maroon) stone is framed by deep Emerald Green accent stones and delicate white pearl clusters. The studs are connected by a fine gold chain with tiny pearl accents (Sahara/Kaan Chain) that wraps around the head for a complete traditional style. This versatile set is perfect for Sangeet, Mehendi, or as an understated yet colorful festive accessory.",0216H6BTR1N,0Z-1Z8O-5HMI,299,493,2026-02-16 17:08:22 IST,,y,1,,,11,,,,B0G5QH9F2V,,,,,,B0G5QH9F2V,,,0,DEFAULT,,Active,1999.0
Oxidized Silver Bahubali Earrings,"Step into traditional elegance with these stunning, intricately crafted Oxidized Silver Jhumka Earrings. Featuring a detailed floral stud design and the classic bell-shaped jhumki dangle, these earrings are perfected with a stylish attached ear chain (Sahara/Kaan Chain) for a secure and graceful fit. The antique, dark silver finish lends a timeless, ethnic charm, making them the perfect accessory for festive occasions, weddings, or traditional events like Navratri and Diwali. Lightweight and comfortable for all-day wear, they capture the essence of classic Indian jewelry.",1208FXVW2L6,20-G3FM-2N4P,249,500,2025-12-08 17:28:17 IST,,y,1,,,11,,,,B0G5PVBF4M,,,,,,B0G5PVBF4M,,,0,DEFAULT,,Active,1299.0
Antique Gold Plated Goddess Laxmi Temple Design Jhumka Earrings with Red & Green Stone and Pearl Drops for Women,"Elevate your ethnic look with these stunning antique gold-plated Jhumka earrings, exquisitely crafted with a divine Goddess Laxmi temple motif. Adorned with a vibrant green stone and delicate pearl drops, these traditional earrings are a perfect accessory for weddings, festivals, and all special occasions, adding a touch of timeless elegance. jhumka earrings antique jhumki traditional earrings ethnic earrings temple design earrings Goddess Laxmi earrings oxidized gold earrings green stone jhumka pearl drop earrings festive earrings wedding jewelry South Indian jewelry Bollywood earrings imitation earrings artificial jewellery women's earrings designer jhumka traditional jhumka party wear jhumka gold plated jhumka",0113H4E8KDM,7F-4VOM-7SYA,299,192,2026-01-13 13:08:07 IST,,y,1,,,11,,,,B0GGHMQV3G,,,,,,B0GGHMQV3G,,,0,DEFAULT,,Active,1199.0
RUMEE Traditional Gold Plated Adjustable Ghungroo Bracelet for Women,"Adorn your wrist with this exquisite set of gold-plated adjustable ghungroo bangles, designed to add a touch of traditional elegance to any outfit. Perfect for weddings, festivals, and special occasions, these bracelets offer a delightful jingle with every movement, ensuring you stand out. Elevate your ethnic ensemble with this captivating and stylish jewelry. ghungroo bangles ghungroo bangle Golden Bangles Kashmiri Bangles Openable Bangles Gold-plated bangles Traditional ghungroo kada Ethnic bell charm bracelet Wedding bangles set Festive wear jewelry Artificial gold bangles Imitation jewelry for women Fashion jewelry Twisted design bangles Party wear bangles Indian traditional jewelry Gold churi set Women's ethnic kada Sone ki chudiyan imitation Ghungroo wali chudi Designer bangles Latest bangle design Bridesmaid bangles Anniversary gift bangles",0207HING4T4,BANGLE-4,299,196,2026-02-07 17:34:08 IST,,y,1,,,11,,,,B0GM7TQG1J,,,,,,B0GM7TQG1J,,,0,DEFAULT,,Active,1599.0
RUMEE Traditional Gold Plated Adjustable Ghungroo Bracelet for Women,"Adorn your wrist with this exquisite set of gold-plated adjustable ghungroo bangles, designed to add a touch of traditional elegance to any outfit. Perfect for weddings, festivals, and special occasions, these bracelets offer a delightful jingle with every movement, ensuring you stand out. Elevate your ethnic ensemble with this captivating and stylish jewelry. ghungroo bangles ghungroo bangle Golden Bangles Kashmiri Bangles Openable Bangles Gold-plated bangles Traditional ghungroo kada Ethnic bell charm bracelet Wedding bangles set Festive wear jewelry Artificial gold bangles Imitation jewelry for women Fashion jewelry Twisted design bangles Party wear bangles Indian traditional jewelry Gold churi set Women's ethnic kada Sone ki chudiyan imitation Ghungroo wali chudi Designer bangles Latest bangle design Bridesmaid bangles Anniversary gift bangles",0422H0M8IGA,BANGLE-5 FIVE,429,100,2026-04-22 14:40:07 IST,,y,1,,,11,,,,B0GY4J9H9B,,,,,,B0GY4J9H9B,,,0,DEFAULT,,Active,1599.0
Traditional Gold Plated Pearl Jhumka Earrings with Ear Chain (Sahara) for Women,"Step into elegance with these stunning gold-plated traditional Jhumka earrings, exquisitely crafted with lustrous pearls and colorful stones. The accompanying ear chain (sahara) adds a touch of royal grace, making them perfect for weddings, festive occasions, and traditional ensembles. Jhumka earrings Traditional Jhumka Gold plated earrings Pearl earrings Ear chain earrings Sahara earrings Wedding earrings Festive earrings Ethnic jewelry Indian earrings Imitation jewelry Women's jhumki Dangler earrings Kundan Jhumka Bridal jhumka Party wear jhumka Gold jhumka Kaanchain Pearl jhumki Artificial earrings",0218HB2IT6F,DJ-1 SMALL BAHU,399,99,2026-02-18 16:38:51 IST,,y,1,,,11,,,,B0GNZW2XXL,,,,,,B0GNZW2XXL,,,0,DEFAULT,,Active,1599.0
Ethnic Gold-Toned Pearl Jhumka Earrings with Kan Chain for Women | Traditional Bahubali Jhumki,"Adorn yourself with these exquisite gold-toned Jhumka earrings, beautifully embellished with shimmering pearls and a central ruby-like stone. Featuring an intricate traditional design and an elegant Kan chain, these earrings are perfect for adding a touch of timeless Indian elegance to your wedding, festive, or party attire. Jhumka earrings Antique gold Jhumka Pearl Jhumkas Traditional Indian earrings Ethnic jewelry Wedding wear earrings Festive Jhumka Bollywood style earrings Gold plated Jhumka Sahara earrings Kan chain Jhumka Women's fashion earrings Party wear Jhumke Dulhan earrings Shaadi Jhumke Mehendi Sangeet jewelry Designer Jhumkas Ruby stone Jhumka",0218HB5LRAG,DJ-7 BAHUBALI,399,94,2026-02-18 18:19:25 IST,,y,1,,,11,,,,B0GP16LHD5,,,,,,B0GP16LHD5,,,0,DEFAULT,,Active,1599.0
Antique Gold Plated Lakshmi Temple Jhumka Earrings with Bahubali Chain & Pearl Drops for Women - Traditional Ethnic Festive Wedding Jewellery,"Adorn yourself with these stunning Antique Gold Plated Lakshmi Temple Jhumka Earrings, featuring an intricate goddess motif, dazzling green and pink stones, and delicate pearl drops. These traditional earrings come with an elegant attached kaan chain (ear chain), enhancing their grand appeal. Perfect for weddings, festivals, and all ethnic occasions, they are designed to complement sarees, lehengas, and salwar suits beautifully. Jhumka Earrings Antique Gold Plated Jhumka Temple Jewellery Lakshmi Design Earrings Traditional Jhumka Ethnic Earrings Pearl Drop Jhumka Stone Studded Jhumka Kaan Chain Earrings Matilu Earrings Wedding Jewellery Festive Earrings Party Wear Earrings Women Earrings Artificial Jewellery Imitation Jhumka Oxidized Jhumka Indian Jhumka Gold Jhumka Girls Earrings",0116HGQCIXK,DJ11BAHUBALI,299,193,2026-01-16 18:56:00 IST,,y,1,,,11,,,,B0GH85SD9L,,,,,,B0GH85SD9L,,,0,DEFAULT,,Active,1199.0
Traditional Gold Plated Jhumka Earrings with Bahubaali Chain for Women - Ethnic Festive Wedding Bahubali Style Earring,"Elevate your ethnic look with these stunning traditional gold-plated jhumka earrings featuring intricate detailing and a classic green stone accent. Each jhumka comes with an elegant attached pearl kaan chain, creating a captivating Bahubali-style design. Perfect for weddings, festivals, and special occasions, these earrings beautifully complement sarees, lehengas, and other traditional attire. Jhumka earrings Kaan chain Bahubali earrings Traditional earrings Ethnic earrings Gold plated earrings Pearl earrings Indian jewelry Festive jewelry Wedding jewelry Antique gold finish earrings Imitation jewelry Artificial jewelry Women's jhumka Party wear earrings Designer jhumka Dulhan earrings Long chain earrings Traditional jhumka set Mehendi Sangeet jewelry",0113H5AHQSD,DJ6BAHUBALI,449,99,2026-01-13 17:11:19 IST,,y,1,,,11,,,,B0GGJ7GKW6,,,,,,B0GGJ7GKW6,,,0,DEFAULT,,Active,1199.0
Traditional Gold Plated Lakshmi Temple Jhumka Earrings with Ruby Green Stones & Pearl Drops for Women,"Adorn yourself with these exquisite Gold Plated Lakshmi Temple Jhumka Earrings, a true testament to traditional South Indian craftsmanship. Featuring intricate deity motifs, vibrant ruby and green stones, and delicate pearl drops, these jhumkas are perfect for weddings, festivals, and ethnic occasions, adding a touch of divine elegance to your ensemble. Elevate your traditional look with this stunning pair designed for comfort and captivating style. Jhumka earrings Gold plated earrings Temple jewelry Lakshmi earrings Traditional jhumkas Ethnic earrings Antique gold earrings Bridal earrings Festive jewelry Wedding earrings Pearl drop earrings Stone studded jhumkas South Indian jewelry Artificial jhumka Fashion earrings Women's earrings Party wear earrings Jhumki Exquisite temple-style jhumkas featuring a detailed goddess motifDevotional earrings",0113H4FRBVA,E2-W5VS-PP1E,299,196,2026-01-13 14:30:09 IST,,y,1,,,11,,,,B0GGHJDXL7,,,,,,B0GGHJDXL7,,,0,DEFAULT,,Active,1099.0
